Price Date,Open Price,High Price,Low Price,Close Price
18/12/2018,686.5,686.5,674.55,676.6
17/12/2018,711.85,711.85,692.75,694.4
14/12/2018,697.45,713.7,694.4,706.05
13/12/2018,682,700,680,697.75
12/12/2018,677.1,680.65,670.6,678.5
11/12/2018,669.2,681.9,660.6,674.5
10/12/2018,669.9,683.8,665.2,669.2
07/12/2018,672,685.75,665.6,682.8
06/12/2018,676.1,685.45,664.55,668.5
05/12/2018,683,683.65,672.5,681.4
04/12/2018,672.55,688.25,671.3,685.25
03/12/2018,673.15,679,665.95,670.35
30/11/2018,661,672,660.95,667.45
29/11/2018,671,674.9,658.8,661.05
28/11/2018,640.95,668.7,640,666.4
27/11/2018,625.5,641,625.3,638.9
26/11/2018,621,628,599.85,621.45
22/11/2018,622.25,628.15,616.75,620.75
21/11/2018,640,640.05,612.1,619.1
20/11/2018,651.7,656,640.1,641.4
19/11/2018,659,662,649.25,651.7
16/11/2018,659.9,662.5,644.2,650.85
15/11/2018,654,666,646.7,656.4
14/11/2018,665.7,665.7,640.5,653.2
13/11/2018,663.5,667.75,656.3,665.7
12/11/2018,666,676.4,662.3,664.2
09/11/2018,679,679,655.5,659.5
07/11/2018,673,677.5,672,675.5
06/11/2018,667.9,675,660.65,666.45
05/11/2018,663.5,668.6,657,666
02/11/2018,665.95,675.8,660.1,662.25
01/11/2018,689.7,689.7,659.6,666.7
31/10/2018,663.9,692.95,663.05,686.4
30/10/2018,641.1,663.8,637.45,659.6
29/10/2018,633.7,650.55,631.5,644.75
26/10/2018,645.3,648.7,629.9,633.6
25/10/2018,643,656.35,636.25,648.75
24/10/2018,663,666.5,647.15,649.8
23/10/2018,675.95,682,653.3,657.6
22/10/2018,688.7,695.05,673.8,679.95
19/10/2018,687,687.7,678,683.55
17/10/2018,710,721.8,701.35,705.35
16/10/2018,710,713.9,689.4,695.25
15/10/2018,688.6,705,681.5,698.8
12/10/2018,676.4,684.05,661.5,678.8
11/10/2018,685,692.9,663.3,673.35
10/10/2018,719.9,719.9,695.4,700.45
09/10/2018,717.1,722.4,702.65,717.75
08/10/2018,725.05,728.7,709.25,714.45
05/10/2018,713,731.5,709.3,724.6
04/10/2018,728.5,729.75,702.5,707.2
03/10/2018,743.8,751.95,726.3,728.5
01/10/2018,737.5,754.9,733,746.65
28/09/2018,721,734.55,715.2,730.05
27/09/2018,722,730.8,717.45,724.8
26/09/2018,731.2,731.85,712,717.85
25/09/2018,718.25,736,717,726.2
24/09/2018,706.5,729.95,706.5,718.25
21/09/2018,713.85,717.4,692,705.3
19/09/2018,727,727,713.2,719.75
18/09/2018,730,730,717,719.1
17/09/2018,735,740,724.6,725.95
14/09/2018,741.9,745,729.05,733.7
12/09/2018,744.4,746.5,736.25,742.9
11/09/2018,735.9,744.75,732,734.3
10/09/2018,737.75,747,729.4,730.85
07/09/2018,734.35,735.15,723.8,732.8
06/09/2018,732.55,735.5,724.1,727.15
05/09/2018,741.95,744.05,725.4,729.9
04/09/2018,722,748.5,716,737.15
